Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
Gran Turismo,Sony Computer Entertainment,10.95m,4.02m,3.87m,2.54m,0.52m,30th Apr 98,https://www.vgchartz.com/games/game.php?id=884&region=All
FIFA 17,Electronic Arts,10.94m,1.26m,7.95m,0.12m,1.61m,27th Sep 16,https://www.vgchartz.com/games/game.php?id=117272&region=All
Animal Crossing: New Leaf,Nintendo,10.90m,2.46m,3.06m,4.90m,0.48m,09th Jun 13,https://www.vgchartz.com/games/game.php?id=71137&region=All
Gran Turismo 5,Sony Computer Entertainment,10.75m,2.96m,4.87m,0.81m,2.10m,24th Nov 10,https://www.vgchartz.com/games/game.php?id=7678&region=All
Call of Duty: Modern Warfare 2,Activision,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09,https://www.vgchartz.com/games/game.php?id=28847&region=All
Grand Theft Auto IV,Rockstar Games,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08,https://www.vgchartz.com/games/game.php?id=7102&region=All
Super Mario All-Stars,Nintendo,10.55m,5.99m,2.15m,2.12m,0.29m,01st Aug 93,https://www.vgchartz.com/games/game.php?id=4432&region=All
Pokémon FireRed / LeafGreen Version,Nintendo,10.49m,4.34m,2.65m,3.15m,0.35m,07th Sep 04,https://www.vgchartz.com/games/game.php?id=4024&region=All
Call of Duty: Ghosts,Activision,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13,https://www.vgchartz.com/games/game.php?id=71508&region=All
Uncharted 4: A Thief's End,Sony Interactive Entertainment,10.33m,4.49m,3.93m,0.21m,1.70m,10th May 16,https://www.vgchartz.com/games/game.php?id=77189&region=All
Just Dance 3,Ubisoft,10.14m,5.95m,3.13m,N/A,1.06m,07th Oct 11,https://www.vgchartz.com/games/game.php?id=48264&region=All
Call of Duty: Ghosts,Activision,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13,https://www.vgchartz.com/games/game.php?id=71507&region=All
Halo: Reach,Microsoft Game Studios,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10,https://www.vgchartz.com/games/game.php?id=35024&region=All
Halo 4,Microsoft Studios,9.96m,6.72m,2.36m,0.04m,0.83m,06th Nov 12,https://www.vgchartz.com/games/game.php?id=51758&region=All
Mario Kart 64,Nintendo,9.87m,5.55m,1.94m,2.23m,0.15m,10th Feb 97,https://www.vgchartz.com/games/game.php?id=1253&region=All
Minecraft,Microsoft Studios,9.82m,5.96m,2.94m,0.02m,0.90m,04th Jun 13,https://www.vgchartz.com/games/game.php?id=51765&region=All
Final Fantasy VII,Sony Computer Entertainment,9.72m,3.01m,2.47m,3.28m,0.96m,03rd Sep 97,https://www.vgchartz.com/games/game.php?id=756&region=All
Gran Turismo 2,Sony Computer Entertainment,9.49m,3.88m,3.42m,1.69m,0.50m,17th Jan 99,https://www.vgchartz.com/games/game.php?id=885&region=All
The Legend of Zelda: Breath of the Wild,Nintendo,9.46m,4.54m,2.94m,1.26m,0.73m,03rd Mar 17,https://www.vgchartz.com/games/game.php?id=118753&region=All
Just Dance 2,Ubisoft,9.45m,5.80m,2.86m,0.01m,0.77m,12th Oct 10,https://www.vgchartz.com/games/game.php?id=45671&region=All
Call of Duty 4: Modern Warfare,Activision,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07,https://www.vgchartz.com/games/game.php?id=7316&region=All
Call of Duty: Black Ops IIII,Activision,9.32m,4.05m,3.28m,0.50m,1.49m,12th Oct 18,https://www.vgchartz.com/games/game.php?id=221291&region=All
Donkey Kong Country,Nintendo,9.30m,4.36m,1.71m,3.00m,0.23m,21st Nov 94,https://www.vgchartz.com/games/game.php?id=3108&region=All
FIFA 19,Electronic Arts,9.15m,0.84m,6.87m,0.10m,1.34m,28th Sep 18,https://www.vgchartz.com/games/game.php?id=222165&region=All
Super Smash Bros. Ultimate,Nintendo,8.95m,4.22m,1.72m,2.41m,0.61m,07th Dec 18,https://www.vgchartz.com/games/game.php?id=221289&region=All
Mario Party DS,Nintendo,8.93m,4.40m,1.86m,1.98m,0.69m,19th Nov 07,https://www.vgchartz.com/games/game.php?id=6973&region=All
The Elder Scrolls V: Skyrim,Bethesda Softworks,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11,https://www.vgchartz.com/games/game.php?id=49112&region=All
Super Mario Kart,Nintendo,8.76m,3.54m,1.24m,3.81m,0.18m,01st Sep 92,https://www.vgchartz.com/games/game.php?id=4435&region=All
Marvel's Spider-Man,Sony Interactive Entertainment,8.76m,3.64m,3.39m,0.32m,1.41m,07th Sep 18,https://www.vgchartz.com/games/game.php?id=120133&region=All
Grand Theft Auto V,Rockstar Games,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14,https://www.vgchartz.com/games/game.php?id=73074&region=All
Halo 2,Microsoft Game Studios,8.49m,6.82m,1.53m,0.05m,0.08m,09th Nov 04,https://www.vgchartz.com/games/game.php?id=940&region=All
Call of Duty: Infinite Warfare,Activision,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16,https://www.vgchartz.com/games/game.php?id=108777&region=All
Fallout 4,Bethesda Softworks,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15,https://www.vgchartz.com/games/game.php?id=85599&region=All
Wii Party,Nintendo,8.41m,1.75m,3.51m,2.49m,0.66m,03rd Oct 10,https://www.vgchartz.com/games/game.php?id=45079&region=All
Super Smash Bros. for 3DS,Nintendo,8.32m,3.73m,1.50m,2.55m,0.54m,03rd Oct 14,https://www.vgchartz.com/games/game.php?id=73239&region=All
Mario Party 8,Nintendo,8.30m,3.74m,2.27m,1.58m,0.70m,29th May 07,https://www.vgchartz.com/games/game.php?id=6091&region=All
FIFA 16,EA Sports,8.22m,1.15m,5.77m,0.07m,1.23m,22nd Sep 15,https://www.vgchartz.com/games/game.php?id=85616&region=All
Pokémon Black 2 and White 2,Nintendo,8.16m,2.79m,1.79m,3.16m,0.43m,07th Oct 12,https://www.vgchartz.com/games/game.php?id=70468&region=All
GoldenEye 007,Nintendo,8.09m,5.80m,2.01m,0.13m,0.15m,25th Aug 97,https://www.vgchartz.com/games/game.php?id=877&region=All
Final Fantasy X,Square,8.05m,2.91m,2.07m,2.73m,0.33m,17th Dec 01,https://www.vgchartz.com/games/game.php?id=759&region=All
Star Wars Battlefront (2015),Electronic Arts,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15,https://www.vgchartz.com/games/game.php?id=83364&region=All
FIFA 13,EA Sports,8.01m,1.07m,5.13m,0.13m,1.68m,25th Sep 12,https://www.vgchartz.com/games/game.php?id=70738&region=All
Mario & Sonic at the Olympic Games,Sega,8.00m,2.57m,3.87m,0.66m,0.90m,06th Nov 07,https://www.vgchartz.com/games/game.php?id=7707&region=All
The Sims 3,Electronic Arts,7.96m,1.01m,6.46m,N/A,0.50m,02nd Jun 09,https://www.vgchartz.com/games/game.php?id=17805&region=All
Final Fantasy VIII,Square EA,7.86m,2.28m,1.72m,3.63m,0.23m,07th Sep 99,https://www.vgchartz.com/games/game.php?id=758&region=All
Pac-Man,Atari,7.81m,7.28m,0.45m,N/A,0.08m,01st Mar 82,https://www.vgchartz.com/games/game.php?id=19685&region=All
Pokémon Platinum Version,Nintendo,7.72m,2.76m,1.73m,2.69m,0.54m,22nd Mar 09,https://www.vgchartz.com/games/game.php?id=23893&region=All
Grand Theft Auto: Liberty City Stories,Rockstar Games,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05,https://www.vgchartz.com/games/game.php?id=5165&region=All
Mario Kart 8,Nintendo,7.69m,3.22m,2.55m,1.39m,0.54m,30th May 14,https://www.vgchartz.com/games/game.php?id=71408&region=All
The Legend of Zelda: Ocarina of Time,Nintendo,7.60m,4.10m,1.89m,1.45m,0.16m,23rd Nov 98,https://www.vgchartz.com/games/game.php?id=2399&region=All
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,7.58m,3.78m,2.17m,1.31m,0.31m,31st Oct 97,https://www.vgchartz.com/games/game.php?id=407&region=All
Super Mario Galaxy 2,Nintendo,7.57m,3.59m,2.37m,0.98m,0.62m,23rd May 10,https://www.vgchartz.com/games/game.php?id=35084&region=All
Call of Duty: Advanced Warfare,Activision,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14,https://www.vgchartz.com/games/game.php?id=81797&region=All
Call of Duty: World at War,Activision,7.50m,4.88m,1.91m,N/A,0.71m,10th Nov 08,https://www.vgchartz.com/games/game.php?id=23992&region=All
Super Mario Bros. 2,Nintendo,7.46m,5.39m,1.18m,0.70m,0.19m,01st Oct 88,https://www.vgchartz.com/games/game.php?id=6457&region=All
Call of Duty: Black Ops 3,Activision,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15,https://www.vgchartz.com/games/game.php?id=85358&region=All
Battlefield 3,Electronic Arts,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11,https://www.vgchartz.com/games/game.php?id=40231&region=All
Battlefield 1,Electronic Arts,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16,https://www.vgchartz.com/games/game.php?id=110843&region=All
Battlefield 3,Electronic Arts,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11,https://www.vgchartz.com/games/game.php?id=40230&region=All
Just Dance,Ubisoft,7.21m,3.48m,2.99m,N/A,0.73m,17th Nov 09,https://www.vgchartz.com/games/game.php?id=40053&region=All
Need for Speed Underground,Electronic Arts,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03,https://www.vgchartz.com/games/game.php?id=5491&region=All
The Legend of Zelda: Twilight Princess,Nintendo,7.18m,3.74m,2.16m,0.60m,0.69m,19th Nov 06,https://www.vgchartz.com/games/game.php?id=4573&region=All
