Game,Publisher,TotalSales,NASales,PALSales,JPSales,OtherSales,ReleaseDate,LinkToPage
NCAA Football 06,EA Sports,1.84m,1.53m,0.05m,N/A,0.25m,11th Jul 05,https://www.vgchartz.com/games/game.php?id=5466&region=All
Rayman Raving Rabbids 2,Ubisoft,1.84m,0.82m,0.82m,N/A,0.20m,15th Nov 07,https://www.vgchartz.com/games/game.php?id=12771&region=All
"Hey You, Pikachu!",Nintendo,1.83m,0.83m,0.06m,0.93m,0.00m,05th Nov 00,https://www.vgchartz.com/games/game.php?id=4012&region=All
Watch Dogs,Ubisoft,1.83m,0.56m,0.89m,0.10m,0.28m,27th May 14,https://www.vgchartz.com/games/game.php?id=70777&region=All
2 Games in 1: Sonic Advance & ChuChu Rocket!,THQ,1.83m,1.31m,0.49m,N/A,0.03m,11th Nov 05,https://www.vgchartz.com/games/game.php?id=26782&region=All
Jet Moto,Sony Computer Entertainment,1.83m,1.33m,0.40m,0.03m,0.07m,31st Oct 96,https://www.vgchartz.com/games/game.php?id=1075&region=All
Secret of Mana,Square,1.83m,0.25m,0.07m,1.49m,0.02m,03rd Oct 93,https://www.vgchartz.com/games/game.php?id=6413&region=All
The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,1.83m,1.13m,0.53m,N/A,0.17m,28th Oct 16,https://www.vgchartz.com/games/game.php?id=119947&region=All
Air Combat,Namco,1.83m,0.92m,0.33m,0.52m,0.05m,29th Jun 95,https://www.vgchartz.com/games/game.php?id=2819&region=All
Demon's Souls,Atlus,1.83m,0.97m,0.34m,0.35m,0.17m,06th Oct 09,https://www.vgchartz.com/games/game.php?id=31689&region=All
Dragon Quest XI,Square Enix,1.82m,N/A,N/A,1.82m,N/A,29th Jul 17,https://www.vgchartz.com/games/game.php?id=193409&region=All
Sonic & Knuckles,Sega,1.82m,1.24m,0.43m,0.03m,0.12m,17th Oct 94,https://www.vgchartz.com/games/game.php?id=6424&region=All
BioShock Infinite,2K Games,1.82m,0.74m,0.74m,0.04m,0.30m,26th Mar 13,https://www.vgchartz.com/games/game.php?id=46736&region=All
Namco Museum,Namco,1.82m,1.73m,0.07m,N/A,0.02m,04th Dec 01,https://www.vgchartz.com/games/game.php?id=5411&region=All
The Sims: Hot Date,Electronic Arts,1.82m,1.81m,0.00m,N/A,N/A,21st Nov 01,https://www.vgchartz.com/games/game.php?id=6484&region=All
The Orange Box,Electronic Arts,1.82m,1.09m,0.53m,0.02m,0.17m,10th Oct 07,https://www.vgchartz.com/games/game.php?id=7619&region=All
DDRMAX2: Dance Dance Revolution,Konami,1.81m,1.05m,0.59m,N/A,0.18m,23rd Sep 03,https://www.vgchartz.com/games/game.php?id=451&region=All
Crazy Taxi,Sega,1.81m,1.10m,0.51m,0.12m,0.08m,24th Jan 00,https://www.vgchartz.com/games/game.php?id=3023&region=All
Virtua Fighter 4,Sega,1.81m,0.78m,0.44m,0.56m,0.04m,17th Mar 02,https://www.vgchartz.com/games/game.php?id=2607&region=All
World of Warcraft: Mists of Pandaria,Blizzard Entertainment,1.81m,0.84m,0.76m,N/A,0.20m,25th Sep 12,https://www.vgchartz.com/games/game.php?id=65124&region=All
NBA 2K11,2K Sports,1.81m,1.41m,0.21m,0.03m,0.16m,05th Oct 10,https://www.vgchartz.com/games/game.php?id=45346&region=All
Sly 2: Band of Thieves,Sony Computer Entertainment,1.81m,0.88m,0.69m,N/A,0.23m,14th Sep 04,https://www.vgchartz.com/games/game.php?id=2072&region=All
Guitar Hero: World Tour,Activision,1.80m,1.00m,0.03m,N/A,0.77m,26th Oct 08,https://www.vgchartz.com/games/game.php?id=23196&region=All
Madden NFL 07,EA Sports,1.80m,1.66m,0.00m,0.01m,0.13m,22nd Aug 06,https://www.vgchartz.com/games/game.php?id=5296&region=All
Sonic Advance 2,Sega,1.80m,0.93m,0.59m,0.21m,0.07m,09th Mar 03,https://www.vgchartz.com/games/game.php?id=4341&region=All
NFL GameDay 2000,989 Studios,1.80m,1.00m,0.68m,N/A,0.12m,31st Jul 99,https://www.vgchartz.com/games/game.php?id=1597&region=All
Metroid Prime 3: Corruption,Nintendo,1.79m,0.89m,0.74m,0.07m,0.09m,27th Aug 07,https://www.vgchartz.com/games/game.php?id=6969&region=All
The Lion King,Virgin Interactive,1.79m,1.26m,0.39m,0.08m,0.06m,01st Oct 94,https://www.vgchartz.com/games/game.php?id=6477&region=All
LEGO Star Wars III: The Clone Wars,LucasArts,1.79m,1.01m,0.62m,N/A,0.15m,22nd Mar 11,https://www.vgchartz.com/games/game.php?id=43295&region=All
The Crew,Ubisoft,1.79m,0.44m,1.04m,0.03m,0.27m,02nd Dec 14,https://www.vgchartz.com/games/game.php?id=73093&region=All
Midnight Club II,Rockstar Games,1.78m,1.25m,0.29m,N/A,0.24m,09th Apr 03,https://www.vgchartz.com/games/game.php?id=5354&region=All
SpongeBob SquarePants: SuperSponge,THQ,1.78m,1.12m,0.58m,N/A,0.08m,21st Sep 01,https://www.vgchartz.com/games/game.php?id=6433&region=All
The Getaway: Black Monday,Sony Computer Entertainment,1.78m,0.39m,1.01m,0.02m,0.36m,11th Jan 05,https://www.vgchartz.com/games/game.php?id=6468&region=All
Far Cry 5,Ubisoft,1.78m,1.14m,0.47m,N/A,0.17m,27th Mar 18,https://www.vgchartz.com/games/game.php?id=177922&region=All
50 Cent: Bulletproof,Vivendi Games,1.77m,0.85m,0.76m,N/A,0.16m,17th Nov 05,https://www.vgchartz.com/games/game.php?id=4808&region=All
Final Fantasy II,Square,1.77m,0.24m,0.09m,1.33m,0.12m,23rd Nov 91,https://www.vgchartz.com/games/game.php?id=3312&region=All
Kirby 64: The Crystal Shards,Nintendo,1.77m,0.63m,0.06m,1.03m,0.04m,26th Jun 00,https://www.vgchartz.com/games/game.php?id=3612&region=All
Dead or Alive 3,Tecmo,1.77m,1.19m,0.29m,0.24m,0.06m,14th Nov 01,https://www.vgchartz.com/games/game.php?id=478&region=All
Dragon Quest Monsters: Joker,Square Enix,1.77m,0.23m,0.03m,1.49m,0.02m,06th Nov 07,https://www.vgchartz.com/games/game.php?id=3145&region=All
UFC 2009 Undisputed,THQ,1.76m,1.07m,0.45m,0.01m,0.24m,19th May 09,https://www.vgchartz.com/games/game.php?id=24581&region=All
Dragon's Dogma,Capcom,1.76m,0.41m,0.48m,0.72m,0.16m,22nd May 12,https://www.vgchartz.com/games/game.php?id=50852&region=All
High School Musical: Sing It!,Disney Interactive Studios,1.76m,1.15m,0.45m,N/A,0.16m,30th Oct 07,https://www.vgchartz.com/games/game.php?id=12565&region=All
Metroid II: Return of Samus,Nintendo,1.76m,0.85m,0.31m,0.56m,0.04m,26th Aug 91,https://www.vgchartz.com/games/game.php?id=3782&region=All
WWF Attitude,Acclaim Entertainment,1.76m,1.27m,0.42m,N/A,0.07m,31st Jul 99,https://www.vgchartz.com/games/game.php?id=6531&region=All
The SpongeBob SquarePants Movie,THQ,1.76m,1.06m,0.54m,N/A,0.16m,27th Oct 04,https://www.vgchartz.com/games/game.php?id=6492&region=All
Golden Sun,Nintendo,1.76m,0.93m,0.38m,0.40m,0.06m,11th Nov 01,https://www.vgchartz.com/games/game.php?id=3417&region=All
Kid Icarus,Nintendo,1.76m,0.53m,0.12m,1.09m,0.02m,01st Aug 87,https://www.vgchartz.com/games/game.php?id=6307&region=All
Sonic the Hedgehog 3,Sega,1.76m,1.02m,0.47m,0.20m,0.07m,23rd Jan 94,https://www.vgchartz.com/games/game.php?id=4349&region=All
Def Jam: Fight for NY,Electronic Arts,1.76m,0.86m,0.67m,N/A,0.22m,20th Sep 04,https://www.vgchartz.com/games/game.php?id=5009&region=All
Tom Clancy's Ghost Recon,Ubisoft,1.76m,1.23m,0.46m,N/A,0.07m,11th Nov 02,https://www.vgchartz.com/games/game.php?id=2453&region=All
State of Emergency,Rockstar Games,1.76m,0.86m,0.67m,N/A,0.22m,12th Feb 02,https://www.vgchartz.com/games/game.php?id=5776&region=All
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,THQ,1.76m,1.26m,0.47m,N/A,0.03m,27th Feb 07,https://www.vgchartz.com/games/game.php?id=33641&region=All
Kinect Star Wars,Microsoft Studios,1.76m,1.05m,0.53m,0.03m,0.15m,03rd Apr 12,https://www.vgchartz.com/games/game.php?id=51740&region=All
The Urbz: Sims in the City,Electronic Arts,1.76m,0.52m,0.95m,N/A,0.29m,09th Nov 04,https://www.vgchartz.com/games/game.php?id=6495&region=All
Star Wars: Starfighter,LucasArts,1.76m,0.61m,0.87m,0.02m,0.26m,19th Feb 01,https://www.vgchartz.com/games/game.php?id=6449&region=All
Madden NFL 2000,EA Sports,1.75m,1.68m,0.04m,N/A,0.04m,31st Jul 99,https://www.vgchartz.com/games/game.php?id=5297&region=All
Just Cause 2,Square Enix,1.75m,0.45m,0.92m,0.06m,0.32m,23rd Mar 10,https://www.vgchartz.com/games/game.php?id=24231&region=All
Star Wars Battlefront,LucasArts,1.75m,1.24m,0.45m,N/A,0.07m,20th Sep 04,https://www.vgchartz.com/games/game.php?id=22375&region=All
Pro Evolution Soccer,Konami,1.75m,0.06m,0.90m,0.53m,0.27m,24th Nov 01,https://www.vgchartz.com/games/game.php?id=17044&region=All
Kingdom Hearts HD I.5 + II.5 ReMIX,Square Enix,1.75m,0.75m,0.51m,0.23m,0.26m,28th Mar 17,https://www.vgchartz.com/games/game.php?id=141654&region=All
Disney's Aladdin,Capcom,1.75m,0.94m,0.34m,0.21m,0.27m,21st Nov 93,https://www.vgchartz.com/games/game.php?id=2829&region=All
Kirby's Adventure,Nintendo,1.75m,0.79m,0.14m,0.80m,0.02m,01st May 93,https://www.vgchartz.com/games/game.php?id=6313&region=All
Yoshi,Nintendo,1.75m,0.70m,0.13m,0.91m,0.01m,01st Jun 92,https://www.vgchartz.com/games/game.php?id=4769&region=All
For Honor,Ubisoft,1.75m,0.73m,0.66m,0.07m,0.28m,14th Feb 17,https://www.vgchartz.com/games/game.php?id=85749&region=All
FIFA Soccer 08,EA Sports,1.75m,0.35m,1.07m,0.02m,0.31m,09th Oct 07,https://www.vgchartz.com/games/game.php?id=7547&region=All
Crackdown,Microsoft Game Studios,1.75m,1.00m,0.53m,0.03m,0.18m,20th Feb 07,https://www.vgchartz.com/games/game.php?id=405&region=All
Dance Dance Revolution X,Konami,1.75m,0.85m,0.66m,0.01m,0.22m,12th Sep 08,https://www.vgchartz.com/games/game.php?id=24764&region=All
2 Games in 1: Disney Princess & The Lion King,THQ,1.75m,1.25m,0.46m,N/A,0.03m,01st Dec 04,https://www.vgchartz.com/games/game.php?id=36792&region=All
Mortal Kombat X,Warner Bros. Interactive Entertainment,1.74m,1.34m,0.23m,N/A,0.18m,14th Apr 15,https://www.vgchartz.com/games/game.php?id=82692&region=All
Star Wars Episode I: The Phantom Menace,LucasArts,1.74m,0.72m,0.89m,0.04m,0.10m,31st Aug 99,https://www.vgchartz.com/games/game.php?id=6441&region=All
Xenosaga Episode I: Der Wille zur Macht,Namco,1.74m,0.63m,0.49m,0.45m,0.17m,26th Feb 03,https://www.vgchartz.com/games/game.php?id=4756&region=All
NBA 2K15,2K Sports,1.74m,1.39m,0.18m,N/A,0.18m,07th Oct 14,https://www.vgchartz.com/games/game.php?id=78585&region=All
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,1.74m,0.97m,0.61m,0.01m,0.15m,19th May 15,https://www.vgchartz.com/games/game.php?id=71481&region=All
NBA 2K19,2K Sports,1.74m,1.47m,0.08m,N/A,0.18m,11th Sep 18,https://www.vgchartz.com/games/game.php?id=222083&region=All
Cruis'n USA,Nintendo,1.74m,1.69m,0.04m,N/A,0.01m,03rd Dec 96,https://www.vgchartz.com/games/game.php?id=430&region=All
Madden NFL 99,EA Sports,1.74m,1.66m,0.04m,N/A,0.04m,31st Jul 98,https://www.vgchartz.com/games/game.php?id=6325&region=All
LEGO City Undercover: The Chase Begins,Nintendo,1.74m,0.54m,0.99m,0.08m,0.12m,21st Apr 13,https://www.vgchartz.com/games/game.php?id=70768&region=All
Shadow of the Tomb Raider,Square Enix,1.74m,0.59m,0.82m,0.06m,0.27m,14th Sep 18,https://www.vgchartz.com/games/game.php?id=221357&region=All
SSX Tricky,EA Sports BIG,1.73m,0.85m,0.66m,N/A,0.22m,05th Nov 01,https://www.vgchartz.com/games/game.php?id=5758&region=All
Dragon Quest VI: Realms of Revelation,Nintendo,1.73m,0.20m,0.15m,1.35m,0.03m,14th Feb 11,https://www.vgchartz.com/games/game.php?id=7694&region=All
Sonic Colors,Sega,1.73m,0.95m,0.61m,0.01m,0.16m,16th Nov 10,https://www.vgchartz.com/games/game.php?id=45319&region=All
Twisted Metal III,989 Studios,1.73m,1.48m,0.20m,N/A,0.05m,31st Oct 98,https://www.vgchartz.com/games/game.php?id=2550&region=All
Harry Potter and the Sorcerer's Stone,Electronic Arts,1.73m,0.94m,0.62m,0.10m,0.07m,21st Nov 01,https://www.vgchartz.com/games/game.php?id=6291&region=All
Crash Bandicoot: The Huge Adventure,Vivendi Games,1.73m,0.95m,0.70m,N/A,0.08m,25th Feb 02,https://www.vgchartz.com/games/game.php?id=6216&region=All
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Rockstar Games,1.72m,0.85m,0.66m,N/A,0.22m,21st Oct 03,https://www.vgchartz.com/games/game.php?id=5164&region=All
Dishonored,Bethesda Softworks,1.72m,1.06m,0.50m,0.01m,0.15m,16th Apr 13,https://www.vgchartz.com/games/game.php?id=52942&region=All
Call of Duty: World at War Final Fronts,Activision,1.72m,0.61m,0.18m,N/A,0.94m,10th Nov 08,https://www.vgchartz.com/games/game.php?id=28269&region=All
Hot Shots Golf Fore!,Sony Computer Entertainment,1.72m,0.27m,0.11m,1.34m,N/A,17th Aug 04,https://www.vgchartz.com/games/game.php?id=991&region=All
Titanfall 2,Electronic Arts,1.72m,0.75m,0.62m,0.06m,0.28m,28th Oct 16,https://www.vgchartz.com/games/game.php?id=112243&region=All
Game Party 3,Warner Bros. Interactive,1.72m,1.43m,0.16m,N/A,0.13m,06th Oct 09,https://www.vgchartz.com/games/game.php?id=37613&region=All
Madden NFL 2005,EA Sports,1.72m,1.61m,0.03m,N/A,0.08m,09th Aug 04,https://www.vgchartz.com/games/game.php?id=1226&region=All
Deal or No Deal,"Destination Software, Inc",1.72m,1.16m,0.40m,N/A,0.16m,23rd Jul 07,https://www.vgchartz.com/games/game.php?id=6810&region=All
Star Ocean: Till The End of Time,Square Enix,1.72m,0.80m,0.21m,0.55m,0.15m,31st Aug 04,https://www.vgchartz.com/games/game.php?id=2182&region=All
Injustice 2,Warner Bros. Interactive Entertainment,1.72m,0.88m,0.54m,N/A,0.29m,16th May 17,https://www.vgchartz.com/games/game.php?id=117274&region=All
The Beatles: Rock Band,MTV Games,1.71m,1.17m,0.39m,N/A,0.15m,09th Sep 09,https://www.vgchartz.com/games/game.php?id=31026&region=All
Toy Story 2: Buzz Lightyear to the Rescue!,Activision,1.71m,0.99m,0.64m,N/A,0.08m,30th Nov 99,https://www.vgchartz.com/games/game.php?id=5940&region=All
Imagine: Teacher,Ubisoft,1.71m,0.70m,0.83m,N/A,0.19m,12th Aug 08,https://www.vgchartz.com/games/game.php?id=23933&region=All
Donkey Kong Country: Tropical Freeze,Nintendo,1.71m,0.74m,0.68m,0.16m,0.13m,21st Feb 14,https://www.vgchartz.com/games/game.php?id=73169&region=All
Call of Duty: Modern Warfare 3,Activision,1.71m,0.41m,0.99m,N/A,0.31m,08th Nov 11,https://www.vgchartz.com/games/game.php?id=44604&region=All
Ace Combat 5: The Unsung War,Namco,1.71m,0.88m,0.34m,0.32m,0.18m,25th Oct 04,https://www.vgchartz.com/games/game.php?id=6932&region=All
Need for Speed Underground,Electronic Arts,1.71m,1.09m,0.55m,N/A,0.07m,17th Nov 03,https://www.vgchartz.com/games/game.php?id=1575&region=All
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,Nintendo,1.71m,N/A,N/A,1.71m,N/A,26th Oct 06,https://www.vgchartz.com/games/game.php?id=3012&region=All
Tetris Worlds,THQ,1.71m,1.25m,0.39m,N/A,0.06m,05th Sep 01,https://www.vgchartz.com/games/game.php?id=6466&region=All
Call of Duty Black Ops: Declassified,Activision,1.71m,0.74m,0.52m,0.07m,0.38m,13th Nov 12,https://www.vgchartz.com/games/game.php?id=70846&region=All
Portal 2,Valve,1.71m,0.83m,0.62m,0.02m,0.24m,19th Apr 11,https://www.vgchartz.com/games/game.php?id=44579&region=All
Pokken Tournament DX,Nintendo,1.71m,0.79m,0.47m,0.32m,0.12m,22nd Sep 17,https://www.vgchartz.com/games/game.php?id=181422&region=All
NieR: Automata,Square Enix,1.71m,0.56m,0.51m,0.42m,0.22m,07th Mar 17,https://www.vgchartz.com/games/game.php?id=86399&region=All
FIFA Soccer 10,EA Sports,1.70m,0.23m,0.24m,0.00m,1.23m,20th Oct 09,https://www.vgchartz.com/games/game.php?id=35497&region=All
Beyond: Two Souls,Sony Computer Entertainment,1.70m,0.52m,0.86m,0.06m,0.26m,08th Oct 13,https://www.vgchartz.com/games/game.php?id=70779&region=All
Hitman: Absolution,Square Enix,1.70m,0.68m,0.88m,0.01m,0.13m,20th Nov 12,https://www.vgchartz.com/games/game.php?id=50957&region=All
Super Puyo Puyo,Banpresto,1.70m,N/A,N/A,1.69m,0.01m,10th Dec 93,https://www.vgchartz.com/games/game.php?id=4452&region=All
Tekken 7,Namco Bandai Games,1.70m,0.60m,0.72m,0.12m,0.26m,02nd Jun 17,https://www.vgchartz.com/games/game.php?id=85260&region=All
NCAA Football 07,Electronic Arts,1.70m,1.41m,0.05m,N/A,0.23m,18th Jul 06,https://www.vgchartz.com/games/game.php?id=5467&region=All
Ben 10: Protector of Earth,D3 Publisher,1.70m,0.68m,0.82m,N/A,0.19m,30th Oct 07,https://www.vgchartz.com/games/game.php?id=12581&region=All
Sid Meier's Civilization V,2K Games,1.70m,1.00m,0.53m,N/A,0.17m,21st Sep 10,https://www.vgchartz.com/games/game.php?id=43507&region=All
Cabela's Big Game Hunter 2010,Activision,1.70m,1.58m,N/A,N/A,0.12m,29th Sep 09,https://www.vgchartz.com/games/game.php?id=36274&region=All
SOCOM 3: U.S. Navy SEALs,Sony Computer Entertainment,1.69m,1.22m,0.34m,0.04m,0.10m,11th Oct 05,https://www.vgchartz.com/games/game.php?id=2094&region=All
Saints Row IV,Deep Silver,1.69m,1.01m,0.51m,0.01m,0.15m,20th Aug 13,https://www.vgchartz.com/games/game.php?id=71730&region=All
Donkey Kong Country: Tropical Freeze,Nintendo,1.69m,0.71m,0.61m,0.26m,0.12m,04th May 18,https://www.vgchartz.com/games/game.php?id=220635&region=All
Jampack Winter '99,Sony Computer Entertainment,1.69m,0.94m,0.64m,N/A,0.11m,01st Oct 99,https://www.vgchartz.com/games/game.php?id=42507&region=All
Cooking Mama 3: Shop & Chop,505 Games,1.69m,0.79m,0.66m,0.08m,0.17m,20th Oct 09,https://www.vgchartz.com/games/game.php?id=35061&region=All
Need for Speed: Undercover,Electronic Arts,1.69m,0.80m,0.70m,0.01m,0.18m,17th Nov 08,https://www.vgchartz.com/games/game.php?id=25735&region=All
WCW vs. nWo: World Tour,THQ,1.69m,1.37m,0.28m,0.03m,0.02m,16th Nov 97,https://www.vgchartz.com/games/game.php?id=6525&region=All
WCW/NWO Thunder,THQ,1.69m,1.10m,0.48m,0.04m,0.07m,31st Dec 98,https://www.vgchartz.com/games/game.php?id=6524&region=All
Harry Potter and the Sorcerer's Stone,Electronic Arts,1.69m,0.87m,0.66m,0.08m,0.08m,15th Nov 01,https://www.vgchartz.com/games/game.php?id=6292&region=All
Personal Trainer: Math,Nintendo,1.69m,0.48m,1.12m,N/A,0.08m,12th Jan 09,https://www.vgchartz.com/games/game.php?id=16058&region=All
Dragon Ball Z: The Legacy of Goku,Infogrames,1.69m,1.52m,0.12m,N/A,0.05m,14th May 02,https://www.vgchartz.com/games/game.php?id=6245&region=All
The Sims 3: Late Night Expansion Pack,Electronic Arts,1.69m,0.59m,0.88m,N/A,0.22m,26th Oct 10,https://www.vgchartz.com/games/game.php?id=48018&region=All
Resident Evil 4,Capcom,1.69m,0.98m,0.42m,0.22m,0.06m,11th Jan 05,https://www.vgchartz.com/games/game.php?id=1884&region=All
LEGO Batman 2: DC Super Heroes,Warner Bros. Interactive Entertainment,1.69m,0.90m,0.64m,N/A,0.15m,26th Jun 12,https://www.vgchartz.com/games/game.php?id=70696&region=All
Far Cry 4,Ubisoft,1.68m,0.85m,0.68m,0.02m,0.14m,18th Nov 14,https://www.vgchartz.com/games/game.php?id=80323&region=All
Saints Row 2,THQ,1.68m,0.88m,0.54m,0.02m,0.24m,14th Oct 08,https://www.vgchartz.com/games/game.php?id=18669&region=All
World Championship Poker: Featuring Howard Lederer - All In,Crave Entertainment,1.68m,0.82m,0.64m,N/A,0.22m,29th Aug 06,https://www.vgchartz.com/games/game.php?id=2693&region=All
NFL GameDay 98,Sony Computer Entertainment,1.68m,1.58m,0.06m,N/A,0.04m,31st Jul 97,https://www.vgchartz.com/games/game.php?id=6377&region=All
Yoshi's Cookie,Nintendo,1.68m,0.59m,0.24m,0.82m,0.03m,01st Jan 93,https://www.vgchartz.com/games/game.php?id=4766&region=All
Star Wars Battlefront: Renegade Squadron,LucasArts,1.68m,0.90m,0.47m,N/A,0.32m,09th Oct 07,https://www.vgchartz.com/games/game.php?id=7631&region=All
Time Crisis,Namco,1.68m,0.38m,0.87m,0.33m,0.10m,31st Oct 97,https://www.vgchartz.com/games/game.php?id=4585&region=All
We Ski,Namco Bandai,1.68m,0.97m,0.41m,0.14m,0.15m,13th May 08,https://www.vgchartz.com/games/game.php?id=17718&region=All
The Sims: Superstar,Electronic Arts,1.68m,1.67m,0.00m,N/A,N/A,12th May 03,https://www.vgchartz.com/games/game.php?id=6488&region=All
Monster Hunter Double Cross,Capcom,1.68m,N/A,N/A,1.68m,N/A,18th Mar 17,https://www.vgchartz.com/games/game.php?id=164154&region=All
Metroid Fusion,Nintendo,1.68m,1.18m,0.27m,0.17m,0.06m,17th Nov 02,https://www.vgchartz.com/games/game.php?id=3781&region=All
SSX 3,EA Sports BIG,1.67m,0.93m,0.52m,N/A,0.22m,20th Oct 03,https://www.vgchartz.com/games/game.php?id=5752&region=All
Madden NFL 2001,EA Sports,1.67m,1.58m,0.05m,N/A,0.04m,22nd Aug 00,https://www.vgchartz.com/games/game.php?id=5298&region=All
Dragon Age: Origins,Electronic Arts,1.67m,0.96m,0.42m,0.08m,0.21m,03rd Nov 09,https://www.vgchartz.com/games/game.php?id=33502&region=All
Star Wars Battlefront II,LucasArts,1.67m,1.22m,0.39m,N/A,0.06m,01st Nov 05,https://www.vgchartz.com/games/game.php?id=22376&region=All
Disney's DuckTales,Capcom,1.67m,0.91m,0.30m,0.42m,0.04m,01st Sep 89,https://www.vgchartz.com/games/game.php?id=6248&region=All
"Monsters, Inc.",THQ,1.67m,0.59m,0.95m,0.03m,0.10m,25th Oct 01,https://www.vgchartz.com/games/game.php?id=6352&region=All
Tony Hawk's Pro Skater 3,Activision,1.67m,1.09m,0.49m,0.02m,0.07m,28th Oct 01,https://www.vgchartz.com/games/game.php?id=2497&region=All
StarCraft II: Heart of the Swarm,Blizzard Entertainment,1.67m,0.85m,0.68m,N/A,0.14m,12th Mar 13,https://www.vgchartz.com/games/game.php?id=27662&region=All
PGR: Project Gotham Racing 2,Microsoft Game Studios,1.67m,0.97m,0.59m,0.04m,0.07m,17th Nov 03,https://www.vgchartz.com/games/game.php?id=6400&region=All
Destiny,Activision,1.67m,0.69m,0.59m,0.13m,0.26m,09th Sep 14,https://www.vgchartz.com/games/game.php?id=71152&region=All
Fight Night Round 3,EA Sports,1.67m,0.81m,0.58m,0.01m,0.26m,05th Dec 06,https://www.vgchartz.com/games/game.php?id=5107&region=All
Spy Hunter,Midway Games,1.67m,1.13m,0.32m,N/A,0.22m,24th Sep 01,https://www.vgchartz.com/games/game.php?id=5746&region=All
NCAA Football 2004,Electronic Arts,1.67m,1.35m,0.09m,N/A,0.23m,16th Jul 03,https://www.vgchartz.com/games/game.php?id=5473&region=All
SpongeBob SquarePants: Battle for Bikini Bottom,THQ,1.67m,1.08m,0.45m,N/A,0.14m,31st Oct 03,https://www.vgchartz.com/games/game.php?id=6434&region=All
Big Beach Sports,THQ,1.66m,0.45m,1.02m,N/A,0.20m,24th Jun 08,https://www.vgchartz.com/games/game.php?id=18662&region=All
Disney Infinity,Disney Interactive Studios,1.66m,1.06m,0.44m,N/A,0.16m,18th Aug 13,https://www.vgchartz.com/games/game.php?id=71963&region=All
Street Fighter II': Special Champion Edition,Capcom,1.66m,1.00m,0.30m,0.31m,0.04m,27th Sep 93,https://www.vgchartz.com/games/game.php?id=6452&region=All
Shaun White Snowboarding: Road Trip,Ubisoft,1.66m,0.93m,0.56m,N/A,0.16m,16th Nov 08,https://www.vgchartz.com/games/game.php?id=23927&region=All
SSX,EA Sports BIG,1.66m,0.78m,0.61m,0.06m,0.20m,30th Oct 00,https://www.vgchartz.com/games/game.php?id=4371&region=All
NBA Ballers,Midway Games,1.66m,0.81m,0.63m,N/A,0.21m,05th Apr 04,https://www.vgchartz.com/games/game.php?id=5440&region=All
Kirby's Return to Dreamland,Nintendo,1.66m,0.58m,0.21m,0.79m,0.07m,24th Oct 11,https://www.vgchartz.com/games/game.php?id=50205&region=All
NBA Live 2003,EA Sports,1.66m,1.25m,0.15m,0.03m,0.22m,08th Oct 02,https://www.vgchartz.com/games/game.php?id=3901&region=All
NBA 2K15,2K Sports,1.66m,1.37m,0.11m,N/A,0.17m,07th Oct 14,https://www.vgchartz.com/games/game.php?id=78586&region=All
Dragon Ball Z: Budokai Tenkaichi,Atari,1.66m,0.96m,0.12m,0.54m,0.04m,18th Oct 05,https://www.vgchartz.com/games/game.php?id=576&region=All
Yoshi's New Island,Nintendo,1.66m,0.51m,0.74m,0.29m,0.11m,14th Mar 14,https://www.vgchartz.com/games/game.php?id=73177&region=All
Ms. Pac-Man,Atari,1.65m,1.54m,0.10m,N/A,0.02m,01st Jan 82,https://www.vgchartz.com/games/game.php?id=19759&region=All
Star Wars The Clone Wars: Lightsaber Duels,LucasArts,1.65m,1.21m,0.30m,N/A,0.14m,11th Nov 08,https://www.vgchartz.com/games/game.php?id=28951&region=All
Mario Party 6,Nintendo,1.65m,0.90m,0.11m,0.60m,0.05m,06th Dec 04,https://www.vgchartz.com/games/game.php?id=1261&region=All
Super Scope 6,Nintendo,1.65m,1.06m,0.38m,0.15m,0.05m,01st Jan 92,https://www.vgchartz.com/games/game.php?id=6460&region=All
Heavenly Sword,Sony Computer Entertainment,1.65m,0.57m,0.73m,0.06m,0.29m,12th Sep 07,https://www.vgchartz.com/games/game.php?id=6978&region=All
MySims,Electronic Arts,1.65m,0.90m,0.54m,0.04m,0.17m,18th Sep 07,https://www.vgchartz.com/games/game.php?id=7495&region=All
Need for Speed Carbon,Electronic Arts,1.65m,0.76m,0.69m,0.02m,0.18m,31st Oct 06,https://www.vgchartz.com/games/game.php?id=3908&region=All
Dragon Quest V: Tenkuu no Hanayome,Enix,1.65m,N/A,N/A,1.65m,N/A,25th Mar 04,https://www.vgchartz.com/games/game.php?id=3147&region=All
Watch Dogs,Ubisoft,1.64m,0.91m,0.59m,N/A,0.15m,27th May 14,https://www.vgchartz.com/games/game.php?id=72078&region=All
Persona 5,Atlus,1.64m,0.62m,0.34m,0.48m,0.20m,04th Apr 17,https://www.vgchartz.com/games/game.php?id=84679&region=All
